order_detail_id,order_id,order_date,pizza_id,quantity
1,1,2026-01-01,4,1
2,2,2026-01-01,6,1
3,2,2026-01-01,2,1
4,2,2026-01-01,9,1
5,2,2026-01-01,10,1
6,2,2026-01-01,1,1
7,3,2026-01-01,9,2
8,4,2026-01-01,9,1
9,5,2026-01-01,9,1
10,6,2026-01-01,1,1
11,6,2026-01-01,4,1
12,7,2026-01-01,9,1
13,8,2026-01-01,9,1
14,9,2026-01-01,6,1
15,9,2026-01-01,10,3
16,9,2026-01-01,7,1
17,9,2026-01-01,9,2
18,9,2026-01-01,8,1
19,9,2026-01-01,5,1
20,10,2026-01-01,10,1
21,10,2026-01-01,1,1
22,11,2026-01-01,1,1
23,11,2026-01-01,3,2
24,11,2026-01-01,7,1
25,12,2026-01-01,3,3
26,12,2026-01-01,9,1
27,13,2026-01-01,10,1
28,14,2026-01-01,4,1
29,15,2026-01-01,7,1
30,15,2026-01-01,2,1
31,15,2026-01-01,8,1
32,15,2026-01-01,4,1
33,16,2026-01-01,2,1
34,16,2026-01-01,6,1
35,16,2026-01-01,1,1
36,17,2026-01-01,1,1
37,17,2026-01-01,8,2
38,17,2026-01-01,2,2
39,17,2026-01-01,9,1
40,17,2026-01-01,10,2
41,17,2026-01-01,5,3
42,18,2026-01-01,6,1
43,19,2026-01-01,7,1
44,19,2026-01-01,8,1
45,20,2026-01-01,7,1
46,20,2026-01-01,2,1
47,21,2026-01-01,7,1
48,22,2026-01-01,2,1
49,22,2026-01-01,7,1
50,22,2026-01-01,1,1
51,23,2026-01-01,1,1
52,24,2026-01-01,1,1
53,24,2026-01-01,7,2
54,24,2026-01-01,9,1
55,25,2026-01-01,8,1
56,25,2026-01-01,1,1
57,26,2026-01-01,6,1
58,26,2026-01-01,10,1
59,27,2026-01-01,1,1
60,27,2026-01-01,6,1
61,27,2026-01-01,5,1
62,28,2026-01-01,3,1
63,29,2026-01-01,10,1
64,30,2026-01-01,1,1
65,31,2026-01-01,10,1
66,31,2026-01-01,7,1
67,32,2026-01-01,7,2
68,32,2026-01-01,10,1
69,32,2026-01-01,9,1
70,33,2026-01-01,1,1
71,33,2026-01-01,10,1
72,34,2026-01-01,4,1
73,35,2026-01-01,10,1
74,35,2026-01-01,6,1
75,35,2026-01-01,7,1
76,35,2026-01-01,1,1
77,36,2026-01-01,1,1
78,36,2026-01-01,6,1
79,37,2026-01-01,9,1
80,37,2026-01-01,10,1
81,38,2026-01-01,4,1
82,38,2026-01-01,7,1
83,39,2026-01-01,9,1
84,40,2026-01-01,2,1
85,40,2026-01-01,1,1
86,41,2026-01-01,2,1
87,41,2026-01-01,10,1
88,42,2026-01-01,7,1
89,42,2026-01-01,2,1
90,42,2026-01-01,10,1
91,42,2026-01-01,8,1
92,43,2026-01-01,3,1
93,43,2026-01-01,9,1
94,43,2026-01-01,8,1
95,44,2026-01-01,5,1
96,45,2026-01-01,2,1
97,45,2026-01-01,4,1
98,45,2026-01-01,1,1
99,46,2026-01-01,3,1
100,46,2026-01-01,6,1
101,46,2026-01-01,1,1
102,47,2026-01-01,1,1
103,47,2026-01-01,10,1
104,48,2026-01-01,3,1
105,48,2026-01-01,10,1
106,48,2026-01-01,9,1
107,48,2026-01-01,8,1
108,49,2026-01-01,8,1
109,50,2026-01-01,4,1
110,51,2026-01-01,1,1
111,51,2026-01-01,6,1
112,52,2026-01-01,4,1
113,52,2026-01-01,10,1
114,52,2026-01-01,8,1
115,53,2026-01-01,6,1
116,53,2026-01-01,9,1
117,54,2026-01-01,9,1
118,54,2026-01-01,1,1
119,55,2026-01-01,8,2
120,56,2026-01-01,6,1
121,56,2026-01-01,5,1
122,56,2026-01-01,1,1
123,57,2026-01-01,6,1
124,58,2026-01-01,2,1
125,58,2026-01-01,7,1
126,59,2026-01-01,10,1
127,59,2026-01-01,6,1
128,59,2026-01-01,7,1
129,60,2026-01-01,3,1
130,60,2026-01-01,2,1
131,61,2026-01-01,1,1
132,61,2026-01-01,9,1
133,62,2026-01-01,1,1
134,62,2026-01-01,9,1
135,63,2026-01-01,6,1
136,64,2026-01-01,7,1
137,65,2026-01-01,6,1
138,65,2026-01-01,8,2
139,65,2026-01-01,9,1
140,66,2026-01-01,6,1
141,66,2026-01-01,7,1
142,67,2026-01-01,1,1
143,68,2026-01-01,6,1
144,68,2026-01-01,9,2
145,69,2026-01-01,1,1
146,70,2026-01-02,10,1
147,70,2026-01-02,8,1
148,71,2026-01-02,1,1
149,72,2026-01-02,5,1
150,73,2026-01-02,1,1
151,74,2026-01-02,2,1
152,74,2026-01-02,10,1
153,74,2026-01-02,5,1
154,74,2026-01-02,9,1
155,75,2026-01-02,9,1
156,75,2026-01-02,5,1
157,75,2026-01-02,6,1
158,76,2026-01-02,7,1
159,76,2026-01-02,4,1
160,76,2026-01-02,10,1
161,76,2026-01-02,8,1
162,77,2026-01-02,1,1
163,77,2026-01-02,4,1
164,78,2026-01-02,7,2
165,78,2026-01-02,6,1
166,78,2026-01-02,2,1
167,78,2026-01-02,8,3
168,78,2026-01-02,1,1
169,79,2026-01-02,7,1
170,79,2026-01-02,6,1
171,79,2026-01-02,1,1
172,80,2026-01-02,7,1
173,80,2026-01-02,1,1
174,81,2026-01-02,1,1
175,82,2026-01-02,7,1
176,82,2026-01-02,3,1
177,82,2026-01-02,8,1
178,82,2026-01-02,10,1
179,83,2026-01-02,1,1
180,84,2026-01-02,7,1
181,85,2026-01-02,6,2
182,85,2026-01-02,9,1
183,85,2026-01-02,4,1
184,86,2026-01-02,4,1
185,87,2026-01-02,7,1
186,87,2026-01-02,10,1
187,87,2026-01-02,9,2
188,88,2026-01-02,2,1
189,89,2026-01-02,8,1
190,89,2026-01-02,1,1
191,90,2026-01-02,8,1
192,90,2026-01-02,1,1
193,91,2026-01-02,1,2
194,91,2026-01-02,3,1
195,91,2026-01-02,7,1
196,92,2026-01-02,1,1
197,92,2026-01-02,9,3
198,92,2026-01-02,10,1
199,92,2026-01-02,7,1
200,92,2026-01-02,8,1
201,92,2026-01-02,5,1
202,92,2026-01-02,4,2
203,93,2026-01-02,8,1
204,94,2026-01-02,7,1
205,94,2026-01-02,1,1
206,95,2026-01-02,6,1
207,95,2026-01-02,8,1
208,96,2026-01-02,6,1
209,97,2026-01-02,7,1
210,98,2026-01-02,6,2
211,99,2026-01-02,9,1
212,100,2026-01-02,4,1
213,101,2026-01-02,3,1
214,101,2026-01-02,7,1
215,101,2026-01-02,8,2
216,102,2026-01-02,1,1
217,102,2026-01-02,9,1
218,103,2026-01-02,9,1
219,104,2026-01-02,1,1
220,104,2026-01-02,3,1
221,104,2026-01-02,10,2
222,105,2026-01-02,4,2
223,105,2026-01-02,7,1
224,105,2026-01-02,9,1
225,106,2026-01-02,10,1
226,106,2026-01-02,8,1
227,107,2026-01-02,3,1
228,107,2026-01-02,9,1
229,107,2026-01-02,8,1
230,107,2026-01-02,10,1
231,108,2026-01-02,6,1
232,108,2026-01-02,4,1
233,108,2026-01-02,9,1
234,109,2026-01-02,7,2
235,109,2026-01-02,9,2
236,110,2026-01-02,7,1
237,110,2026-01-02,6,1
238,110,2026-01-02,8,2
239,111,2026-01-02,3,1
240,111,2026-01-02,2,1
241,111,2026-01-02,7,1
242,111,2026-01-02,5,1
243,112,2026-01-02,7,1
244,113,2026-01-02,3,1
245,113,2026-01-02,10,1
246,113,2026-01-02,1,1
247,114,2026-01-02,7,1
248,114,2026-01-02,8,1
249,115,2026-01-02,7,1
250,115,2026-01-02,6,1
251,115,2026-01-02,1,1
252,116,2026-01-02,2,1
253,117,2026-01-02,8,2
254,118,2026-01-02,9,1
255,118,2026-01-02,5,1
256,119,2026-01-02,2,1
257,120,2026-01-02,6,1
258,120,2026-01-02,4,1
259,120,2026-01-02,5,1
260,121,2026-01-02,1,2
261,121,2026-01-02,2,1
262,121,2026-01-02,8,1
263,122,2026-01-02,9,1
264,123,2026-01-02,7,1
265,124,2026-01-02,1,1
266,124,2026-01-02,8,2
267,124,2026-01-02,4,1
268,125,2026-01-02,4,1
269,126,2026-01-02,10,1
270,127,2026-01-02,7,1
271,128,2026-01-02,8,1
272,129,2026-01-02,7,1
273,129,2026-01-02,4,1
274,130,2026-01-02,4,1
275,130,2026-01-02,7,1
276,130,2026-01-02,10,1
277,130,2026-01-02,1,1
278,131,2026-01-02,3,1
279,131,2026-01-02,2,1
280,131,2026-01-02,10,1
281,131,2026-01-02,9,1
282,132,2026-01-02,7,1
283,133,2026-01-02,1,1
284,133,2026-01-02,4,2
285,134,2026-01-02,7,1
286,134,2026-01-02,1,1
287,134,2026-01-02,9,1
288,135,2026-01-02,10,1
289,136,2026-01-02,2,1
290,136,2026-01-02,8,1
291,137,2026-01-03,5,1
292,137,2026-01-03,7,1
